,platform,url,measured.on
141,growfunding,http://www.growfunding.be/bxl/en-stoemelings-nl?archived=true,2015-03-18
142,growfunding,http://www.growfunding.be/bxl/de-bij-zaak-nl?archived=true,2015-03-18
143,growfunding,http://www.growfunding.be/bxl/canalpark?archived=true,2015-03-18
144,growfunding,http://www.growfunding.be/bxl/escapades-nl?archived=true,2015-03-18
145,growfunding,http://www.growfunding.be/bxl/schapenkaas-uit-hartje-watermaal-bosvoorde?archived=true,2015-03-18
146,growfunding,http://www.growfunding.be/bxl/snoezel-mee-nl?archived=true,2015-03-18
147,growfunding,http://www.growfunding.be/bxl/fraternit-nl?archived=true,2015-03-18
148,growfunding,http://www.growfunding.be/bxl/vooruitgangstraat-rue-du-progr-egrave-s?archived=true,2015-03-18
149,growfunding,http://www.growfunding.be/bxl/velo-m2-nl?archived=true,2015-03-18
150,growfunding,http://www.growfunding.be/bxl/urban-stories?archived=true,2015-03-18
151,growfunding,http://www.growfunding.be/bxl/fanfakids-2-0-zica-n?archived=true,2015-03-18
152,growfunding,http://www.growfunding.be/bxl/dreamstart-een-boost-voor-jonge-micro-ondernemers?archived=true,2015-03-18
153,growfunding,http://www.growfunding.be/bxl/listen-with-us-ecoute-avec-nous-luister-met-ons?archived=true,2015-03-18
154,growfunding,http://www.growfunding.be/bxl/streetfood-night?archived=true,2015-03-18
155,growfunding,http://www.growfunding.be/bxl/this-is-not-a-pop-song-nl?archived=true,2015-03-18
156,growfunding,http://www.growfunding.be/bxl/vechten-doe-je-in-de-ring-en-niet-op-straat?archived=true,2015-03-18
157,growfunding,http://www.growfunding.be/bxl/mobiele-keukens-voor-kookmet?archived=true,2015-03-18
158,growfunding,http://www.growfunding.be/bxl/bxl-noord-gestript?archived=true,2015-03-18
159,growfunding,http://www.growfunding.be/bxl/bxlr-cup-nl?archived=true,2015-03-18
160,neighbourly,https://www.neighbourly.com/projects/550829248f60fd0d70e6dbb9,2015-03-18
161,neighbourly,https://www.neighbourly.com/projects/550829248f60fd0d70e6dbb9,2015-03-18
162,neighbourly,https://www.neighbourly.com/projects/550809708f60fd0d70e6db8c,2015-03-18
163,neighbourly,https://www.neighbourly.com/projects/550809708f60fd0d70e6db8c,2015-03-18
164,neighbourly,https://www.neighbourly.com/projects/5507fc28f63c790e5cd2bd98,2015-03-18
165,neighbourly,https://www.neighbourly.com/projects/5507fc28f63c790e5cd2bd98,2015-03-18
166,neighbourly,https://www.neighbourly.com/projects/550744988f60fd0d70e6db5e,2015-03-18
167,neighbourly,https://www.neighbourly.com/projects/550744988f60fd0d70e6db5e,2015-03-18
168,neighbourly,https://www.neighbourly.com/projects/5506ce77f63c790e5440db24,2015-03-18
169,neighbourly,https://www.neighbourly.com/projects/5506ce77f63c790e5440db24,2015-03-18
170,neighbourly,https://www.neighbourly.com/projects/5502fa1ff63c790b780855a1,2015-03-18
171,neighbourly,https://www.neighbourly.com/projects/5502fa1ff63c790b780855a1,2015-03-18
172,neighbourly,https://www.neighbourly.com/projects/5502f4358f60fd04e0b8abd6,2015-03-18
173,neighbourly,https://www.neighbourly.com/projects/5502f4358f60fd04e0b8abd6,2015-03-18
174,neighbourly,https://www.neighbourly.com/projects/55015dcb8f60fd0cc8b7ad85,2015-03-18
175,neighbourly,https://www.neighbourly.com/projects/55015dcb8f60fd0cc8b7ad85,2015-03-18
176,neighbourly,https://www.neighbourly.com/projects/5500a12ef63c7907948f3ad0,2015-03-18
177,neighbourly,https://www.neighbourly.com/projects/5500a12ef63c7907948f3ad0,2015-03-18
178,neighbourly,https://www.neighbourly.com/projects/5500525af63c7907948f34da,2015-03-18
179,neighbourly,https://www.neighbourly.com/projects/550050ad8f60fd0c483cf5c3,2015-03-18
180,neighbourly,https://www.neighbourly.com/projects/550050ad8f60fd0c483cf5c3,2015-03-18
181,neighbourly,https://www.neighbourly.com/projects/55004fe1f63c7907948f34d6,2015-03-18
182,neighbourly,https://www.neighbourly.com/projects/55004fe1f63c7907948f34d6,2015-03-18
183,neighbourly,https://www.neighbourly.com/projects/55003b958f60fd0c483cf53e,2015-03-18
184,neighbourly,https://www.neighbourly.com/projects/55003b958f60fd0c483cf53e,2015-03-18
